category,num_examples,mean_chrf,median_chrf,min_chrf,max_chrf
exact_match,2,100.0,100.0,100.0,100.0
whitespace,2,100.0,100.0,100.0,100.0
french_exact,1,100.0,100.0,100.0,100.0
german_exact,1,100.0,100.0,100.0,100.0
morphology,2,92.7156398861945,92.7156398861945,85.43127977238899,100.0
french_near,1,91.09666585944807,91.09666585944807,91.09666585944807,91.09666585944807
punctuation,2,88.75549150917843,88.75549150917843,88.39782765520151,89.11315536315534
reordered_good,1,88.49050334702365,88.49050334702365,88.49050334702365,88.49050334702365
german_near,1,74.37895437895436,74.37895437895436,74.37895437895436,74.37895437895436
noisy_output,2,69.31416649301099,69.31416649301099,63.68967100940511,74.93866197661687
partial_translation,2,66.54531263007839,66.54531263007839,58.301981768075414,74.78864349208136
short_string,2,62.5,62.5,25.0,100.0
lexical_choice,2,50.912261064008824,50.912261064008824,48.19978181055128,53.62474031746637
wrong_meaning,2,50.745079061765935,50.745079061765935,40.04843268293653,61.44172544059535
reordered_bad,1,41.92722116833891,41.92722116833891,41.92722116833891,41.92722116833891
